M0WIT;IO93dr;1395;298
IT9CJC;JM76iw;1262;186
UA3DJR;KO85xu;1697;57
IK4ALM;JN54;641;226
2E0FQT;IO93;1379;296
G7JWY;IO92;1351;292
IS0MHD;JM49;1188;213
OH5KZ;KP30;1480;25
LA6ZEA;JO59;1284;343
SV8NAJ;KM07;1266;165
F6BHK;JN24;1023;246
UY7VY;KN69;1177;82
OH4NDU;KP11;1494;14
IK4ALM;JN54;641;226
2E0FQT;IO93;1379;296
CU3AT;HM68;3678;258
OE1VRB;JN88;0;0
RK4FAJ;LO23;2033;70
M0OJR;IO92;1351;292
UR4MSF;KN98;1624;86
IK4ALM;JN54;641;226
UA3IHJ;KO67;1464;45
2E0FQT;IO93;1379;296
CU3AT;HM68;3678;258
UY0MK;KN98;1624;86
RK4FAJ;LO23;2033;70
UR4MSF;KN98;1624;86
M0OJR;IO92;1351;292
TA2LP;KN40;1303;132
OE1VRB;JN88;0;0
LB5MG;JP50;1389;344
UY0MK;KN98;1624;86
SV9BMG;KM25;1589;156
RK4FAJ;LO23;2033;70
2E0FQT;IO93;1379;296
TA2LP;KN40;1303;132
LB5MG;JP50;1389;344
UY0MK;KN98;1624;86
RK4FAJ;LO23;2033;70
M0OJR;IO92;1351;292
OH4NDU;KP11;1494;14
TA2LP;KN40;1303;132
UA3IHJ;KO67;1464;45
UR5GBB;KN76;1374;96
LB5MG;JP50;1389;344
M0OJR;IO92;1351;292
TA2LP;KN40;1303;132
UA3IHJ;KO67;1464;45
UR5GBB;KN76;1374;96
IK4ALM;JN54;641;226
LB5MG;JP50;1389;344
JF3NZA;PM73;9067;103
TA2LP;KN40;1303;132
UA3IHJ;KO67;1464;45
IK4ALM;JN54;641;226
LB5MG;JP50;1389;344
LB3NI;JP77;2116;357
M0HUI;IO91;1332;287
IK4ALM;JN54;641;226
LB5MG;JP50;1389;344
OH4NDU;KP11;1494;14
UR5GBB;KN76;1374;96
UA3IHJ;KO67;1464;45
2E0FQT;IO93;1379;296
LB5MG;JP50;1389;344
SV9BMG;KM25;1589;156
OH4NDU;KP11;1494;14
UA3IHJ;KO67;1464;45
UX0UM;KO50;1039;75
F4DFQ;JN05;1262;257
LB5MG;JP50;1389;344
RK4HP;LO43;2299;71
OH4NDU;KP11;1494;14
UA3IHJ;KO67;1464;45
UX0UM;KO50;1039;75
2E0FQT;IO93;1379;296
OE1VRB;JN88;0;0
2E0FQT;IO93;1379;296
4Z1TL;KM72;2333;139
LB5MG;JP50;1389;344
OE1VRB;JN88;0;0
F4ESO;JN39;741;280
LB5MG;JP50;1389;344
UY0MK;KN98;1624;86
F4ESO;JN39;741;280
RK4HP;LO43;2299;71
OH4NDU;KP11;1494;14
UA3IHJ;KO67;1464;45
UX0UM;KO50;1039;75
LB5MG;JP50;1389;344
OE1VRB;JN88;0;0
G0HDB;IO82;1485;290
RK4HP;LO43;2299;71
RW4LND;LO44;2303;68
OH4NDU;KP11;1494;14
UA3IHJ;KO67;1464;45
UX0UM;KO50;1039;75
LB5MG;JP50;1389;344
OE1VRB;JN88;0;0
G0HDB;IO82;1485;290
RW4LND;LO44;2303;68
OH4NDU;KP11;1494;14
UA3IHJ;KO67;1464;45
LB5MG;JP50;1389;344
OE1VRB;JN88;0;0
CT1APN;IM59;2301;247
M0OJR;IO92;1351;292
F4HTA;JO10;1039;285
G7JWY;IO92;1351;292
G4AUE;IO91;1332;287
UA3GU;KO92;1620;71
2E0FQT;IO93;1379;296
M0OJR;IO92;1351;292
CT1APN;IM59;2301;247
UA3IHJ;KO67;1464;45
G4AUE;IO91;1332;287
4Z1TL;KM72;2333;139
CT1APN;IM59;2301;247
OH4NDU;KP11;1494;14
UA3IHJ;KO67;1464;45
G7JWY;IO92;1351;292
G4AUE;IO91;1332;287
UA3GU;KO92;1620;71
OH4NDU;KP11;1494;14
G7JWY;IO92;1351;292
G4AUE;IO91;1332;287
LB5MG;JP50;1389;344
R4AAV;LN28;2062;86
OH4NDU;KP11;1494;14
G7JWY;IO92;1351;292
R4AAV;LN28;2062;86
G1VWC;IO92;1351;292
OH4NDU;KP11;1494;14
G7JWY;IO92;1351;292
OH4NDU;KP11;1494;14
G7JWY;IO92;1351;292
OE1VRB;JN88;0;0
SU9JG;KM50;2328;149
LB5MG;JP50;1389;344
G7JWY;IO92;1351;292
OE1VRB;JN88;0;0
EI9HFB;IO63;1769;292
LB5MG;JP50;1389;344
RW4LND;LO44;2303;68
F4DFQ;JN05;1262;257
M0OJR;IO92;1351;292
M0HUI;IO91;1332;287
EA2HK;IN91;1615;243
OH5KZ;KP30;1480;25
UR4MSF;KN98;1624;86
2E0FQT;IO93;1379;296
G7JWY;IO92;1351;292
OE1VRB;JN88;0;0
EI9HFB;IO63;1769;292
LB5MG;JP50;1389;344
RW4LND;LO44;2303;68
F4DFQ;JN05;1262;257
M0OJR;IO92;1351;292
M0TBQ;IO82;1485;290
EA2BHE;IN83;1643;253
UT5UOD;KO50;1039;75
UR4MSF;KN98;1624;86
UA3IHJ;KO67;1464;45
G7JWY;IO92;1351;292
JA6CNL;PM53;8841;101
LB5MG;JP50;1389;344
RW4LND;LO44;2303;68
F4DFQ;JN05;1262;257
RU3VT;LO06;1847;58
M0OJR;IO92;1351;292
M0TBQ;IO82;1485;290
UT5UOD;KO50;1039;75
UR4MSF;KN98;1624;86
EA7TR;IM76;2236;235
OH4NDU;KP11;1494;14
G7JWY;IO92;1351;292
LB5MG;JP50;1389;344
EA1AHY;IN73;1789;255
RU3VT;LO06;1847;58
OE1VRB;JN88;0;0
M0OJR;IO92;1351;292
UR5FKG;KN56;1079;100
M6DHV;IO84;1537;298
MI0OBC;IO74;1662;297
UT5UOD;KO50;1039;75
UR4MSF;KN98;1624;86
G7JWY;IO92;1351;292
LB5MG;JP50;1389;344
OE1VRB;JN88;0;0
M0OJR;IO92;1351;292
M6DHV;IO84;1537;298
LA6JEA;JP50;1389;344
EA7TR;IM76;2236;235
UT5UOD;KO50;1039;75
F4HIK;JN06;1226;262
SM4GOH;JO79;1230;354
OE1VRB;JN88;0;0
G7JWY;IO92;1351;292
UX0UM;KO50;1039;75
LB5MG;JP50;1389;344
PA3GEG;JO32;838;303
M6DHV;IO84;1537;298
M0TBQ;IO82;1485;290
2E0FQT;IO93;1379;296
M0CUK;IO91;1332;287
F4HIK;JN06;1226;262
OH5KZ;KP30;1480;25
LA6JEA;JP50;1389;344
OE1VRB;JN88;0;0
G7JWY;IO92;1351;292
LB5MG;JP50;1389;344
EA1AHY;IN73;1789;255
M0OJR;IO92;1351;292
2E0FQT;IO93;1379;296
M0CUK;IO91;1332;287
EA7TR;IM76;2236;235
UR4MSF;KN98;1624;86
F6CEE;IN94;1450;255
LA6JEA;JP50;1389;344
OH4NDU;KP11;1494;14
OE1VRB;JN88;0;0
G7JWY;IO92;1351;292
LB5MG;JP50;1389;344
M0OJR;IO92;1351;292
A41ZZ;LL93;4613;125
M0TBQ;IO82;1485;290
2E0FQT;IO93;1379;296
M0CUK;IO91;1332;287
UR4MSF;KN98;1624;86
F6CEE;IN94;1450;255
G0LUB;IO92;1351;292
OH4NDU;KP11;1494;14
OE1VRB;JN88;0;0
UA3IHJ;KO67;1464;45
CT2HUN;IM58;2366;245
LB5MG;JP50;1389;344
M0OJR;IO92;1351;292
A41ZZ;LL93;4613;125
M0TBQ;IO82;1485;290
2E0FQT;IO93;1379;296
UR4MSF;KN98;1624;86
EA7TR;IM76;2236;235
MM0HVU;IO85;1574;302
UA3IHJ;KO67;1464;45
F4ACR;IN96;1374;264
LB5MG;JP50;1389;344
M0TBQ;IO82;1485;290
2E0FQT;IO93;1379;296
EA7TR;IM76;2236;235
LA6ZEA;JO59;1284;343
LB3NI;JP77;2116;357
UR4MSF;KN98;1624;86
OZ1CDQ;JO47;1135;332
LB8MG;JO59;1284;343
PA3GAE;JO21;923;293
G0LUB;IO92;1351;292
PB1HF;JO20;898;286
UT5UOD;KO50;1039;75
UA3IHJ;KO67;1464;45
F4ACR;IN96;1374;264
F4ESO;JN39;741;280
2E0FQT;IO93;1379;296
LB3NI;JP77;2116;357
OH5KZ;KP30;1480;25
UR4MSF;KN98;1624;86
OZ1CDQ;JO47;1135;332
UA3IHJ;KO67;1464;45
F4ACR;IN96;1374;264
HB9VAB;JN36;786;255
2E0FQT;IO93;1379;296
F4HIK;JN06;1226;262
OH5KZ;KP30;1480;25
UR4MSF;KN98;1624;86
PB1HF;JO20;898;286
OZ1CDQ;JO47;1135;332
UA3IHJ;KO67;1464;45
F4ACR;IN96;1374;264
CT2HUN;IM58;2366;245
EA4GWX;IN80;1817;243
HB9VAB;JN36;786;255
R1BDX;KO59;1525;35
EA1AHY;IN73;1789;255
R4AAV;LN28;2062;86
F6CEE;IN94;1450;255
2E0FQT;IO93;1379;296
LB3NI;JP77;2116;357
M0OJR;IO92;1351;292
UR4MSF;KN98;1624;86
OZ1CDQ;JO47;1135;332
LB8MG;JO59;1284;343
MM0HVU;IO85;1574;302
F4HIK;JN06;1226;262
2E0DCS;IO83;1507;294
